Timestamp,Timestamp_ET,Order_Type,Entry_Type,Status,Low,High,Entry_Point,Stop_Loss,Take_Profit,Profit_Multiplier,Risk_Dollars,Contracts,At_Risk,Potential,Placed_Timestamp,Placed_Timestamp_ET,Filled_Timestamp,Filled_Timestamp_ET,Close_Timestamp,Close_Timestamp_ET,Cancel_Reason
1728466620000,2024-10-09 09:37:00,Long,EngulfingOrderBlock,Profit,5794.0,5797.25,5797.25,5794.0,5803.75,2.0,550.0,33,536.25,1072.5,1728466680000,2024-10-09 09:38:00,1728466680000,2024-10-09 09:38:00,1728466800000,2024-10-09 09:40:00,
1728475560000,2024-10-09 12:06:00,Long,EngulfingOrderBlock,Loss,5831.75,5834.5,5834.5,5831.75,5840.0,2.0,550.0,40,550.0,1100.0,1728475620000,2024-10-09 12:07:00,1728475680000,2024-10-09 12:08:00,1728476100000,2024-10-09 12:15:00,
1728482220000,2024-10-09 13:57:00,Long,EngulfingOrderBlock,Cancelled,5826.0,5828.0,5828.0,5826.0,5832.0,2.0,550.0,55,550.0,1100.0,,,,,1728482520000,2024-10-09 14:02:00,More than ten minutes have passed and the candle wicked outside the order.
1728482940000,2024-10-09 14:09:00,Short,EngulfingOrderBlock,Cancelled,5829.75,5831.75,5829.75,5831.75,5825.75,2.0,550.0,55,550.0,1100.0,1728483000000,2024-10-09 14:10:00,,,1728483540000,2024-10-09 14:19:00,More than ten minutes have passed and the candle wicked outside the order.
1728485940000,2024-10-09 14:59:00,Long,EngulfingOrderBlock,Loss,5829.75,5831.25,5831.25,5829.75,5834.25,2.0,550.0,73,547.5,1095.0,1728486300000,2024-10-09 15:05:00,1728486300000,2024-10-09 15:05:00,1728486420000,2024-10-09 15:07:00,
1728554340000,2024-10-10 09:59:00,Short,EngulfingOrderBlock,Loss,5826.0,5829.0,5826.0,5829.0,5820.0,2.0,550.0,36,540.0,1080.0,1728554460000,2024-10-10 10:01:00,1728554460000,2024-10-10 10:01:00,1728554700000,2024-10-10 10:05:00,
1728555120000,2024-10-10 10:12:00,Short,EngulfingOrderBlock,Profit,5831.25,5834.0,5831.25,5834.0,5825.75,2.0,550.0,40,550.0,1100.0,1728555180000,2024-10-10 10:13:00,1728555180000,2024-10-10 10:13:00,1728555600000,2024-10-10 10:20:00,
1728557760000,2024-10-10 10:56:00,Long,EngulfingOrderBlock,Loss,5819.75,5821.75,5821.75,5819.75,5825.75,2.0,550.0,55,550.0,1100.0,1728557820000,2024-10-10 10:57:00,1728557820000,2024-10-10 10:57:00,1728558060000,2024-10-10 11:01:00,
1728563520000,2024-10-10 12:32:00,Long,EngulfingOrderBlock,Loss,5833.5,5835.75,5835.75,5833.5,5840.25,2.0,550.0,48,540.0,1080.0,1728563580000,2024-10-10 12:33:00,1728563580000,2024-10-10 12:33:00,1728564180000,2024-10-10 12:43:00,
1728565860000,2024-10-10 13:11:00,Long,EngulfingOrderBlock,Profit,5820.75,5822.5,5822.5,5820.75,5826.0,2.0,550.0,62,542.5,1085.0,1728565920000,2024-10-10 13:12:00,1728565920000,2024-10-10 13:12:00,1728566280000,2024-10-10 13:18:00,
