Open Time (ET),Close Time (ET),Trading Date,Direction,Entry Price,Exit Price,Profit/Loss,Status,Duration (min),Is Quick Stop,ADX,Plus DI,Minus DI,Trend Direction,Trend Strength,Is Strong Trend,Is Golden Cross,Is Death Cross,Keltner Upper,Keltner Middle,Keltner Lower,Entry vs Keltner,Bollinger Upper,Bollinger Lower,BB Bandwidth,Is Squeezing,Volatility Level,ATR
2025-01-02 09:35:01,2025-01-02 09:53:00,2025-01-02,Short,5951.50,5963.25,-587.50,Loss,17,false,39.19,6.90,45.07,Down,Strong,true,false,true,5973.70,5966.34,5958.97,Below Lower,5981.46,5951.22,0.0051,true,Normal,4.91
2025-01-02 09:55:01,2025-01-02 10:21:00,2025-01-02,Long,5972.75,5959.50,-662.50,Loss,25,false,56.10,35.74,11.44,Up,Very Strong,true,true,false,5959.98,5950.49,5940.99,Above Upper,5972.37,5928.60,0.0074,true,Normal,6.33
2025-01-02 10:22:01,2025-01-02 10:52:00,2025-01-02,Short,5955.25,5956.50,-62.50,Loss,29,false,45.17,12.41,36.65,Down,Strong,true,false,true,5983.49,5974.15,5964.81,Below Lower,5991.58,5956.72,0.0058,true,Normal,6.23
2025-01-02 11:04:01,2025-01-02 11:24:00,2025-01-02,Short,5931.50,5941.50,-500.00,Loss,19,false,26.48,12.89,37.47,Down,Strong,true,false,true,5957.16,5947.05,5936.94,Below Lower,5963.28,5930.82,0.0055,true,Normal,6.74
2025-01-02 12:24:01,2025-01-02 14:27:37,2025-01-02,Short,5938.25,5905.12,1656.74,Profit,123,false,25.96,10.73,35.43,Down,Strong,true,false,true,5954.89,5948.21,5941.54,Below Lower,5959.42,5937.00,0.0038,true,Normal,4.45
2025-01-02 14:28:01,2025-01-02 14:37:00,2025-01-02,Long,5903.75,5894.75,-450.00,Loss,8,true,30.24,28.66,10.83,Up,Strong,true,true,false,5901.90,5896.14,5890.37,Above Upper,5904.45,5887.82,0.0028,true,Normal,3.84
2025-01-02 14:53:01,2025-01-02 14:59:00,2025-01-02,Long,5910.00,5897.25,-637.50,Loss,5,true,28.26,27.65,16.08,Up,Strong,true,true,false,5907.01,5900.19,5893.36,Above Upper,5909.43,5890.95,0.0031,true,Normal,4.55
2025-01-02 15:12:01,2025-01-02 15:37:00,2025-01-02,Long,5911.00,5909.50,-75.00,Loss,24,false,19.96,29.65,11.22,Doji,Weak,false,true,false,5910.77,5904.05,5897.33,Above Upper,5916.00,5892.10,0.0040,true,Normal,4.48
2025-01-03 09:40:01,2025-01-03 09:51:40,2025-01-03,Long,5964.50,5942.75,-1087.50,Loss,11,true,39.69,40.43,16.80,Up,Strong,true,true,false,5954.75,5949.34,5943.92,Above Upper,5962.28,5936.40,0.0044,true,Normal,3.61
2025-01-03 10:06:01,2025-01-03 10:16:00,2025-01-03,Long,5962.00,5951.25,-537.50,Loss,9,true,35.27,30.66,12.39,Up,Strong,true,true,false,5958.56,5950.20,5941.84,Above Upper,5961.42,5938.98,0.0038,true,Normal,5.57
2025-01-03 10:22:01,2025-01-03 10:30:00,2025-01-03,Short,5936.00,5952.25,-812.50,Loss,7,true,39.36,16.39,30.01,Down,Strong,true,false,true,5961.89,5952.70,5943.51,Below Lower,5969.54,5935.86,0.0057,true,Normal,6.13
2025-01-03 11:27:01,2025-01-03 15:00:17,2025-01-03,Long,5964.00,5988.18,1208.95,Profit,213,false,32.82,29.75,14.21,Up,Strong,true,true,false,5962.94,5957.63,5952.31,Above Upper,5964.91,5950.34,0.0024,true,Normal,3.54
